Student Name,Roll No,ID,Mobile Number,College Name,Address,Email ID,Passing Year,Branch,Trade
Myra Doshi,R0072,ID00072,9440117035,"Walla, Gandhi and Bhardwaj College","734, Jhaveri Zila, Kolkata-002294",kannannirvaan@wali-kala.com,2023,Mechanical,Power Systems
Eshani Sankar,R0073,ID00073,9911737475,Madan Inc College,"H.No. 46, Shere, Giridih 948842",bordedishani@bhalla.com,2024,Electronics,Software Engineering
Nishith Baral,R0074,ID00074,9365940407,Dey Ltd College,"16/151, Sundaram Zila, Hazaribagh 848147",vaibhav42@yahoo.com,2022,Civil,Software Engineering
Gokul Cheema,R0075,ID00075,9624732964,Basu Inc College,"H.No. 04, Mannan Marg, Nagpur 352353",bvenkatesh@roy-dey.com,2021,Mechanical,Software Engineering
Umang Thaman,R0076,ID00076,9591147289,Vaidya LLC College,"569, Badal, Raiganj 055245",shayak38@ghosh-lata.com,2021,Mechanical,Networking
Jiya Shankar,R0077,ID00077,9207724266,Bedi PLC College,"H.No. 27, Bhat Road, Satna-366068",tiyaraj@hotmail.com,2024,Civil,Thermodynamics
Kabir Deshpande,R0078,ID00078,9230030404,Malhotra Group College,"00/077, Sandhu Road, Anantapuram 924243",dixitalisha@mani.org,2025,Electronics,Software Engineering
Yakshit Kalla,R0079,ID00079,9191109989,Som-Boase College,"H.No. 919, Samra Nagar, Kirari Suleman Nagar-385335",zlalla@kala-dhillon.com,2023,Electronics,Structural Design
Vanya Rama,R0080,ID00080,9297892398,Kapadia Ltd College,"H.No. 52, Barman Chowk, Kollam 960516",rdhar@yahoo.com,2021,Civil,Software Engineering
Biju Sarraf,R0081,ID00081,9675191727,Kar-Keer College,"211, Dasgupta Zila, Nashik 431227",vidur06@chandran-dhingra.biz,2022,Computer Science,Power Systems
Jhanvi Viswanathan,R0082,ID00082,9399739298,Jhaveri Group College,"39/771, Garg Circle, Nagaon 146392",vihaanjhaveri@yahoo.com,2023,Electronics,Networking
Riya Batta,R0083,ID00083,9810901250,Khalsa-Roy College,"287, Seth Chowk, Rajahmundry 987568",fratti@varkey.com,2021,Mechanical,Software Engineering
Myra Verma,R0084,ID00084,9944584848,Gopal-Rajan College,"63/55, Kant Street, Dhanbad 364948",anahimajumdar@gmail.com,2020,Information Technology,Networking
Shaan Mane,R0085,ID00085,9454922594,Sahota-Apte College,"94/79, Mand Path, Thiruvananthapuram-132946",aradhyadugar@rege.net,2023,Mechanical,Power Systems
Aaina Ahluwalia,R0086,ID00086,9145004877,"Johal, Din and Bhat College","04/447, Kurian, Dindigul 630911",ivora@varty.com,2024,Mechanical,VLSI
Anvi Gera,R0087,ID00087,9972918242,Behl PLC College,"H.No. 098, Wable Nagar, Aurangabad 492370",pari97@apte.biz,2025,Computer Science,Networking
Lavanya Sanghvi,R0088,ID00088,9498045984,"Jain, Chokshi and Keer College","580, Batta Ganj, Hindupur-540891",sacharinaaya@zachariah.biz,2022,Information Technology,Structural Design
Priyansh Talwar,R0089,ID00089,9130305294,Tak PLC College,"14/57, Varty Ganj, Hyderabad-039089",shenoyritvik@hotmail.com,2021,Electrical,Networking
Arhaan Kata,R0090,ID00090,9223056310,"Shroff, Wason and Vig College","H.No. 603, Vala Street, Raipur 166793",khushi85@srinivas.com,2025,Civil,Structural Design
Bhavin Hegde,R0091,ID00091,9445021052,"Korpal, Bakshi and Buch College","653, Hora Nagar, Jhansi 534133",neysa68@yahoo.com,2024,Computer Science,VLSI
Veer Batta,R0092,ID00092,9510220761,Dada Inc College,"32/895, Gokhale Marg, Gwalior 960122",ramlakshay@gmail.com,2023,Computer Science,Networking
Nishith Sodhi,R0093,ID00093,9130127375,Sani LLC College,"H.No. 876, Keer Nagar, Hosur 449413",balidivij@gmail.com,2023,Electrical,Software Engineering
Vanya Solanki,R0094,ID00094,9422884612,Mander Ltd College,"H.No. 80, Apte Ganj, Udaipur 151746",navya58@yahoo.com,2025,Computer Science,Power Systems
Vihaan Mallick,R0095,ID00095,9572093249,Thaker-Shenoy College,"83, Sur Path, Thiruvananthapuram 902319",farhanraman@hotmail.com,2022,Information Technology,Power Systems
Divit Kala,R0096,ID00096,9217835141,Subramaniam Group College,"H.No. 170, Devi Street, Ichalkaranji 750604",raghavchakraborty@vaidya-mani.biz,2021,Electronics,Networking
Pihu Bera,R0097,ID00097,9960109118,"Rege, Balan and Dyal College","08, Swamy Path, Vadodara-895899",wvyas@hotmail.com,2021,Information Technology,Software Engineering
Kimaya Sharaf,R0098,ID00098,9170872096,"Sandal, Chaudhari and Gera College","H.No. 26, Chad Chowk, Thiruvananthapuram 064164",saanvithakkar@sarkar.com,2025,Electrical,Structural Design
Rohan Sridhar,R0099,ID00099,9277676855,Sabharwal-Dhawan College,"73/68, Kumer Circle, Ramgarh-186938",sonisaira@agate.org,2020,Civil,Networking
