Student Name,Roll No,ID,Mobile Number,College Name,Address,Email ID,Passing Year,Branch,Trade,Total Marks,CGPA,Grade
Neelofar Sengupta,R0012,ID00012,9567443356,"Hans, Lalla and Kari College","42, Sule Nagar, Madanapalle-864560",himmatcontractor@singh.biz,2021,Electronics,VLSI,420,8.86,A
Zoya Ahuja,R0013,ID00013,9599243353,Venkataraman Inc College,"H.No. 36, Dhillon Zila, Silchar-714898",vardaniyavirk@hotmail.com,2021,Electronics,Software Engineering,599,6.67,C
Devansh Chaudhari,R0014,ID00014,9945682860,Seshadri LLC College,"H.No. 573, Kibe, Imphal 546979",zainalad@hotmail.com,2022,Civil,Software Engineering,514,7.66,B
Siya Manda,R0015,ID00015,9359136412,Krishnamurthy-Kamdar College,"68/251, Divan Street, Deoghar-822559",psarkar@barman-verma.net,2021,Electronics,Networking,498,6.99,C
Emir Tata,R0016,ID00016,9547611341,Brahmbhatt and Sons College,"54/352, Shroff Circle, Tadipatri 000000",ramaswamysaanvi@sangha.com,2022,Civil,Power Systems,483,8.27,A
Heer Apte,R0017,ID00017,9243390378,Khurana-Soman College,"45/505, Goswami Chowk, Tenali 492463",behlahana@kaul.com,2023,Electronics,Power Systems,439,7.46,B
Stuvan Rana,R0018,ID00018,9402927525,Rege-Vyas College,"50, Agarwal Street, Singrauli 941110",purab97@gmail.com,2022,Information Technology,Structural Design,449,9.62,A+
Neysa Iyer,R0019,ID00019,9604094459,Sha-Kant College,"08/949, Mall Street, Gandhinagar 700582",yakshit34@sura.com,2024,Electrical,Software Engineering,487,9.75,A+
Devansh Sule,R0020,ID00020,9474238667,"Sangha, Kaur and Jhaveri College","H.No. 570, Khurana Road, Farrukhabad-231893",tarinivarghese@sha.net,2022,Electrical,VLSI,509,9.88,A+
Pranay Gokhale,R0021,ID00021,9994720523,"Sachdev, Chaudry and Sahni College","H.No. 234, Hora Marg, Aurangabad 208095",urvisachdev@hotmail.com,2022,Mechanical,Structural Design,442,9.51,A+
Shanaya Gopal,R0022,ID00022,9787292723,Anand-Chaudhry College,"59/220, Gade, Durgapur 536694",dalalnakul@swaminathan.net,2023,Information Technology,Structural Design,408,9.25,A+
Raunak Hari,R0023,ID00023,9721019329,"Gole, Brar and Talwar College","H.No. 26, Kamdar Nagar, Mango-745573",zoya13@yahoo.com,2024,Electronics,Software Engineering,568,8.1,A
Aarav Saraf,R0024,ID00024,9955685450,Dhawan-Sahni College,"13, Mani Zila, Panvel-582180",behladira@barad.com,2020,Electrical,Thermodynamics,420,8.77,A
Nishith Reddy,R0025,ID00025,9893046369,Bhardwaj Group College,"H.No. 85, Krishnamurthy Circle, Nadiad 414657",ahana-ahuja@yahoo.com,2022,Mechanical,Software Engineering,553,8.8,A
Emir Gopal,R0026,ID00026,9869143736,Chowdhury LLC College,"67/57, Sachdev Chowk, Bongaigaon-391109",anya30@gmail.com,2023,Electronics,Structural Design,579,8.32,A
Aradhya Bir,R0027,ID00027,9411707918,"Rege, Chaudhuri and Chandra College","79, Mangal, Patiala 261692",parinaazdoctor@gade.com,2024,Civil,Power Systems,596,7.73,B
Hiran Gupta,R0028,ID00028,9696939646,Kala-Trivedi College,"83/49, Kapadia Nagar, Muzaffarnagar 051100",chawlaahana@kalla.com,2022,Mechanical,Networking,582,9.13,A+
Emir Ramaswamy,R0029,ID00029,9670521594,"Dave, Jha and Sama College","66/488, Cherian Path, Pune 884368",manderkhushi@hotmail.com,2024,Electrical,Structural Design,490,7.31,B
Nayantara Ahuja,R0030,ID00030,9296175262,"Ahuja, Varma and Divan College","33/18, Lal Road, Kollam 593055",lavanyabhasin@mani-rege.com,2022,Computer Science,Thermodynamics,579,7.05,B
Saira Sekhon,R0031,ID00031,9931211052,Rege Group College,"H.No. 21, Dar Path, Aizawl-581402",shayakramanathan@tak.com,2020,Information Technology,Thermodynamics,420,7.98,B
Indrans Master,R0032,ID00032,9616160483,Dugar-Taneja College,"07/92, Bajaj Street, Nizamabad-785614",vbahri@iyengar.org,2025,Electronics,Networking,431,7.97,B
Kartik Wagle,R0033,ID00033,9517463773,"Chad, Chana and Golla College","41/67, Thaman Ganj, Dewas-538853",ratikonda@gole.com,2021,Electronics,Thermodynamics,469,6.67,C
Adira Iyengar,R0034,ID00034,9669114517,Gulati and Sons College,"H.No. 774, Lanka Nagar, Anand-896754",borabiju@wali.com,2022,Electrical,Structural Design,541,6.33,C
Divit Sinha,R0035,ID00035,9734202704,Choudhary-Tailor College,"45, Thaker Zila, Amravati 164571",bakshiromil@devi.com,2020,Computer Science,VLSI,554,7.11,B
Gokul Ramanathan,R0036,ID00036,9568589502,Shenoy-Kalita College,"H.No. 147, Jhaveri Circle, Dharmavaram-587250",trisha75@sharma.biz,2024,Civil,Power Systems,458,7.68,B
Yakshit Hayer,R0037,ID00037,9598079984,Wable-Bandi College,"H.No. 266, Chopra Ganj, Karnal 095591",himmat95@dewan.com,2021,Mechanical,VLSI,401,7.75,B
Kavya Zachariah,R0038,ID00038,9490524528,Sane-Ben College,"00, Talwar, Bhopal-475704",wtaneja@chacko.biz,2020,Computer Science,Thermodynamics,512,6.19,C
Lavanya Ray,R0039,ID00039,9459946243,"Salvi, Warrior and Bhandari College","H.No. 61, Chaudhary, Saharsa-977892",aradhyasubramanian@sekhon.com,2020,Computer Science,Structural Design,592,9.36,A+
Ivana Sarraf,R0040,ID00040,9792018013,Ganguly and Sons College,"32/472, Rajagopal Zila, Allahabad-407408",ramaela@yahoo.com,2024,Computer Science,Software Engineering,532,6.3,C
Bhavin Borah,R0041,ID00041,9402756730,Mandal LLC College,"H.No. 58, Bhakta Ganj, Tirunelveli-310086",buchalisha@hotmail.com,2020,Information Technology,Software Engineering,511,9.63,A+
Ira Kade,R0042,ID00042,9119200572,Rana-Dube College,"H.No. 712, Bahri, Vijayawada-816302",uthakkar@yahoo.com,2022,Computer Science,Structural Design,514,7.33,B
Mahika Chacko,R0043,ID00043,9232295927,"Jain, Walla and De College","H.No. 201, Choudhary Nagar, Eluru 503483",biju70@sunder-deep.net,2022,Electrical,Thermodynamics,552,9.3,A+
Neysa Bhat,R0044,ID00044,9847169066,Hayer Group College,"72/969, Mammen Ganj, Surendranagar Dudhrej-651097",yashvichowdhury@gmail.com,2023,Computer Science,Power Systems,581,6.16,C
Nehmat Vig,R0045,ID00045,9178348740,"Thaman, Kaur and Barman College","47, Mallick Chowk, Ghaziabad-483381",dasguptaanvi@sood-joshi.info,2020,Electronics,Power Systems,464,8.61,A
Neelofar Dugar,R0046,ID00046,9264996405,"Raj, Desai and Magar College","55, Batta Path, Rewa 950868",advikkarpe@hotmail.com,2023,Mechanical,Thermodynamics,593,9.71,A+
Parinaaz Bali,R0047,ID00047,9279571049,"Lad, Sahota and Cherian College","H.No. 10, Vig Street, Chapra 236972",ivanadeo@saraf.com,2022,Information Technology,Software Engineering,540,6.83,C
Anika D’Alia,R0048,ID00048,9193667296,"Sabharwal, Tandon and Tella College","90, Setty Zila, Dewas 058717",sehersarraf@hotmail.com,2025,Electrical,Structural Design,528,8.3,A
Mishti Khare,R0049,ID00049,9102182701,"Balasubramanian, Sarraf and Shan College","97/00, Bala Street, Patiala 087835",iedwin@gmail.com,2022,Information Technology,Thermodynamics,598,6.94,C
Trisha Sidhu,R0050,ID00050,9873066406,Ghose-Sawhney College,"H.No. 88, Ahuja Ganj, Madhyamgram-512789",kshan@bawa-bhatia.com,2021,Computer Science,VLSI,509,8.33,A
Neysa Verma,R0051,ID00051,9173235591,Wason-Anne College,"H.No. 335, Ravi Chowk, Madurai 485582",sharmasaanvi@yahoo.com,2022,Electrical,Structural Design,574,9.7,A+
Kanav Contractor,R0052,ID00052,9770375591,Swaminathan-Tandon College,"44/104, Seth Path, Anand 028848",elakshi06@kale.com,2025,Mechanical,Thermodynamics,470,8.69,A
Heer Dua,R0053,ID00053,9208378065,Bajwa-Bora College,"01, Sharaf, Agra-030274",gerauthkarsh@gmail.com,2025,Electronics,Thermodynamics,560,8.5,A
Miraya Desai,R0054,ID00054,9809992118,Dara LLC College,"91/67, Sarin Marg, Jamshedpur 496630",aptenirvi@chada.biz,2022,Electronics,VLSI,408,9.22,A+
Seher Balakrishnan,R0055,ID00055,9598941551,Bhavsar Ltd College,"727, Buch Path, Jalgaon 393854",maneprisha@hotmail.com,2020,Mechanical,Software Engineering,486,9.71,A+
Khushi Sampath,R0056,ID00056,9239055752,"Basu, Dubey and Das College","64/382, Talwar Circle, Jaunpur-703332",rajupranay@gmail.com,2024,Civil,Networking,478,9.56,A+
Aarna Anand,R0057,ID00057,9890576021,"Borah, Sibal and Thaman College","H.No. 98, Dass Street, Jabalpur 401816",ishitakrishnamurthy@yahoo.com,2024,Mechanical,Thermodynamics,545,7.5,B
Kiara Salvi,R0058,ID00058,9152765879,"Apte, Sur and Kurian College","96/204, Sarkar Circle, Kakinada-191880",jaurora@krishnamurthy.com,2022,Electrical,Structural Design,561,9.88,A+
Vihaan Varkey,R0059,ID00059,9383527264,Magar-Shetty College,"254, Lall Nagar, Kochi 816584",dhaliwalsiya@bobal.com,2024,Computer Science,Networking,419,7.89,B
Mohanlal Tiwari,R0060,ID00060,9766953158,Rama Ltd College,"30, Bandi Path, Raichur-192931",bmani@hotmail.com,2024,Electrical,Networking,575,8.44,A
Nitara Ganguly,R0061,ID00061,9632654998,Kalla-Goel College,"H.No. 044, Balasubramanian Road, Bijapur 449759",ghoshsamarth@bassi-dubey.net,2022,Electronics,Networking,543,7.45,B
Aarav Shanker,R0062,ID00062,9658770421,Vohra and Sons College,"H.No. 182, Ahuja Path, Bangalore-429039",ritvikkapadia@batra-sharma.com,2022,Electronics,Thermodynamics,579,9.54,A+
Oorja Chokshi,R0063,ID00063,9823559100,"Sarin, Manne and Keer College","94/862, Sachar Path, Pondicherry 989523",lkrishna@hotmail.com,2020,Information Technology,Networking,476,6.61,C
Rhea Rout,R0064,ID00064,9497862643,"D’Alia, Tak and Sharaf College","H.No. 65, Deshmukh Circle, Hapur-764951",cbajwa@deshmukh.com,2024,Electronics,Structural Design,553,9.35,A+
Shalv Mahal,R0065,ID00065,9276466762,"Borra, Shenoy and Ghose College","H.No. 83, Shetty Street, Gandhidham-302664",boseanaya@hotmail.com,2025,Electrical,Thermodynamics,456,6.48,C
Jivin Keer,R0066,ID00066,9995942100,"Joshi, Bhatti and Dayal College","51/650, Kant Circle, Burhanpur-455025",aaryahizachariah@yahoo.com,2025,Computer Science,Structural Design,444,6.49,C
Urvi Sharaf,R0067,ID00067,9527467091,Hari LLC College,"767, Mane Chowk, Danapur 159059",rohan55@ben.net,2024,Mechanical,Thermodynamics,488,7.96,B
Vivaan Sahota,R0068,ID00068,9585763786,Agrawal-Chawla College,"791, Sarin Marg, Mirzapur 631198",krishnandhanush@master-ravel.com,2024,Electrical,Power Systems,493,9.25,A+
Anvi Andra,R0069,ID00069,9303622744,"Sethi, Basu and Kota College","81, Bawa Ganj, Malda-563850",kantjivin@yahoo.com,2020,Computer Science,Structural Design,436,6.81,C
Anvi Lalla,R0070,ID00070,9989744153,Gandhi-Bera College,"90, Ramanathan Ganj, Danapur-776424",mbhakta@acharya.com,2025,Computer Science,Power Systems,506,7.9,B
Neelofar Lalla,R0071,ID00071,9936546646,"Dasgupta, Balakrishnan and Chokshi College","26/26, Bera, Navi Mumbai-707015",samarbhatnagar@gmail.com,2020,Information Technology,Software Engineering,537,9.19,A+
Myra Doshi,R0072,ID00072,9440117035,"Walla, Gandhi and Bhardwaj College","734, Jhaveri Zila, Kolkata-002294",kannannirvaan@wali-kala.com,2023,Mechanical,Power Systems,546,6.59,C
Eshani Sankar,R0073,ID00073,9911737475,Madan Inc College,"H.No. 46, Shere, Giridih 948842",bordedishani@bhalla.com,2024,Electronics,Software Engineering,563,7.85,B
Nishith Baral,R0074,ID00074,9365940407,Dey Ltd College,"16/151, Sundaram Zila, Hazaribagh 848147",vaibhav42@yahoo.com,2022,Civil,Software Engineering,543,7.96,B
Gokul Cheema,R0075,ID00075,9624732964,Basu Inc College,"H.No. 04, Mannan Marg, Nagpur 352353",bvenkatesh@roy-dey.com,2021,Mechanical,Software Engineering,573,6.3,C
Umang Thaman,R0076,ID00076,9591147289,Vaidya LLC College,"569, Badal, Raiganj 055245",shayak38@ghosh-lata.com,2021,Mechanical,Networking,536,6.62,C
Jiya Shankar,R0077,ID00077,9207724266,Bedi PLC College,"H.No. 27, Bhat Road, Satna-366068",tiyaraj@hotmail.com,2024,Civil,Thermodynamics,426,9.56,A+
Kabir Deshpande,R0078,ID00078,9230030404,Malhotra Group College,"00/077, Sandhu Road, Anantapuram 924243",dixitalisha@mani.org,2025,Electronics,Software Engineering,502,8.19,A
Yakshit Kalla,R0079,ID00079,9191109989,Som-Boase College,"H.No. 919, Samra Nagar, Kirari Suleman Nagar-385335",zlalla@kala-dhillon.com,2023,Electronics,Structural Design,448,7.67,B
Vanya Rama,R0080,ID00080,9297892398,Kapadia Ltd College,"H.No. 52, Barman Chowk, Kollam 960516",rdhar@yahoo.com,2021,Civil,Software Engineering,440,6.35,C
Biju Sarraf,R0081,ID00081,9675191727,Kar-Keer College,"211, Dasgupta Zila, Nashik 431227",vidur06@chandran-dhingra.biz,2022,Computer Science,Power Systems,455,8.28,A
Jhanvi Viswanathan,R0082,ID00082,9399739298,Jhaveri Group College,"39/771, Garg Circle, Nagaon 146392",vihaanjhaveri@yahoo.com,2023,Electronics,Networking,467,9.5,A+
Riya Batta,R0083,ID00083,9810901250,Khalsa-Roy College,"287, Seth Chowk, Rajahmundry 987568",fratti@varkey.com,2021,Mechanical,Software Engineering,552,6.14,C
Myra Verma,R0084,ID00084,9944584848,Gopal-Rajan College,"63/55, Kant Street, Dhanbad 364948",anahimajumdar@gmail.com,2020,Information Technology,Networking,513,9.37,A+
Shaan Mane,R0085,ID00085,9454922594,Sahota-Apte College,"94/79, Mand Path, Thiruvananthapuram-132946",aradhyadugar@rege.net,2023,Mechanical,Power Systems,558,6.87,C
Aaina Ahluwalia,R0086,ID00086,9145004877,"Johal, Din and Bhat College","04/447, Kurian, Dindigul 630911",ivora@varty.com,2024,Mechanical,VLSI,501,8.65,A
Anvi Gera,R0087,ID00087,9972918242,Behl PLC College,"H.No. 098, Wable Nagar, Aurangabad 492370",pari97@apte.biz,2025,Computer Science,Networking,465,6.33,C
Lavanya Sanghvi,R0088,ID00088,9498045984,"Jain, Chokshi and Keer College","580, Batta Ganj, Hindupur-540891",sacharinaaya@zachariah.biz,2022,Information Technology,Structural Design,453,8.64,A
Priyansh Talwar,R0089,ID00089,9130305294,Tak PLC College,"14/57, Varty Ganj, Hyderabad-039089",shenoyritvik@hotmail.com,2021,Electrical,Networking,464,6.9,C
Arhaan Kata,R0090,ID00090,9223056310,"Shroff, Wason and Vig College","H.No. 603, Vala Street, Raipur 166793",khushi85@srinivas.com,2025,Civil,Structural Design,423,8.08,A
Bhavin Hegde,R0091,ID00091,9445021052,"Korpal, Bakshi and Buch College","653, Hora Nagar, Jhansi 534133",neysa68@yahoo.com,2024,Computer Science,VLSI,475,6.07,C
Veer Batta,R0092,ID00092,9510220761,Dada Inc College,"32/895, Gokhale Marg, Gwalior 960122",ramlakshay@gmail.com,2023,Computer Science,Networking,541,7.7,B
Nishith Sodhi,R0093,ID00093,9130127375,Sani LLC College,"H.No. 876, Keer Nagar, Hosur 449413",balidivij@gmail.com,2023,Electrical,Software Engineering,450,8.96,A
Vanya Solanki,R0094,ID00094,9422884612,Mander Ltd College,"H.No. 80, Apte Ganj, Udaipur 151746",navya58@yahoo.com,2025,Computer Science,Power Systems,424,6.78,C
Vihaan Mallick,R0095,ID00095,9572093249,Thaker-Shenoy College,"83, Sur Path, Thiruvananthapuram 902319",farhanraman@hotmail.com,2022,Information Technology,Power Systems,524,8.49,A
Divit Kala,R0096,ID00096,9217835141,Subramaniam Group College,"H.No. 170, Devi Street, Ichalkaranji 750604",raghavchakraborty@vaidya-mani.biz,2021,Electronics,Networking,440,8.3,A
Pihu Bera,R0097,ID00097,9960109118,"Rege, Balan and Dyal College","08, Swamy Path, Vadodara-895899",wvyas@hotmail.com,2021,Information Technology,Software Engineering,572,7.15,B
Kimaya Sharaf,R0098,ID00098,9170872096,"Sandal, Chaudhari and Gera College","H.No. 26, Chad Chowk, Thiruvananthapuram 064164",saanvithakkar@sarkar.com,2025,Electrical,Structural Design,453,9.42,A+
Rohan Sridhar,R0099,ID00099,9277676855,Sabharwal-Dhawan College,"73/68, Kumer Circle, Ramgarh-186938",sonisaira@agate.org,2020,Civil,Networking,400,8.66,A
Kimaya Ghose,R0100,ID00100,9144276409,Luthra-Lad College,"H.No. 049, Swaminathan Zila, Vellore 967581",lakshay23@loyal-gaba.org,2022,Information Technology,Software Engineering,414,9.62,A+
Charvi Dugal,R0101,ID00101,9581195510,"Ahuja, Kumar and Mander College","H.No. 415, Bhat, Kozhikode 484232",khannakimaya@deol-desai.com,2022,Civil,Structural Design,476,9.58,A+
Zain Dani,R0102,ID00102,9432848602,Kulkarni Ltd College,"57/68, Dube Chowk, Rampur-084567",nirvaanwali@vyas.com,2023,Information Technology,VLSI,530,7.28,B
Ritvik Ratta,R0103,ID00103,9956726092,Kumer-Iyer College,"13/55, Basu Zila, Bhimavaram-047815",ranbir16@hotmail.com,2022,Electrical,Software Engineering,588,8.51,A
Divyansh Bath,R0104,ID00104,9432981807,Badal Inc College,"55, Chander Circle, Dhule 272260",aradhyachadha@gmail.com,2023,Electronics,Thermodynamics,565,6.16,C
Suhana Desai,R0105,ID00105,9771779562,Saha PLC College,"229, Ramakrishnan Road, Katni 304672",samar39@gmail.com,2021,Information Technology,Thermodynamics,463,6.5,C
Madhav Bajwa,R0106,ID00106,9183852268,Sharaf Group College,"H.No. 229, Saha Chowk, Bardhaman 026672",miraan57@sura.net,2023,Electrical,Structural Design,526,7.17,B
Charvi Jaggi,R0107,ID00107,9489575965,Rama-Edwin College,"H.No. 009, Dixit Chowk, Tiruchirappalli 241580",arnavtaneja@hotmail.com,2021,Electrical,VLSI,407,6.14,C
Samaira Chandra,R0108,ID00108,9797450869,Suri Inc College,"54/277, Mani Road, Jamalpur-399827",deshmukhrasha@yahoo.com,2025,Information Technology,Structural Design,434,7.12,B
Nayantara Varkey,R0109,ID00109,9851354497,"Sarkar, Jayaraman and Lala College","H.No. 496, Kade Street, Bhagalpur-265474",zsampath@bhattacharyya-agrawal.com,2023,Civil,Networking,465,7.13,B
Raghav Chakrabarti,R0110,ID00110,9430306722,Sarkar-Trivedi College,"40, Grover Road, Malda-282076",bwalia@bhat-chaudry.com,2021,Electrical,Power Systems,596,7.1,B
Azad Shanker,R0111,ID00111,9961787577,Balan and Sons College,"899, Bava Street, Sultan Pur Majra-061497",sulevritika@shan.com,2022,Mechanical,VLSI,585,9.3,A+
Nitara Brar,R0112,ID00112,9346391788,"Gole, Vala and Chowdhury College","801, Dutt Circle, Ulhasnagar 244096",samiuthkarsh@hotmail.com,2024,Electrical,Structural Design,562,9.69,A+
Charvi Bose,R0113,ID00113,9142381915,Agrawal and Sons College,"19, Uppal Street, Hindupur-875675",bhattianiruddh@gmail.com,2021,Civil,Software Engineering,466,8.79,A
Prisha Mangat,R0114,ID00114,9531692448,"Sengupta, Dutta and Brahmbhatt College","15/54, Bakshi Nagar, Giridih 485489",badalkeya@sen.biz,2020,Computer Science,VLSI,401,8.57,A
Lakshit Kibe,R0115,ID00115,9462449205,Dada and Sons College,"90/411, Raman, Udupi-180806",romilwarrior@yahoo.com,2021,Computer Science,VLSI,554,8.22,A
Aarav Badami,R0116,ID00116,9508826752,"Raju, Subramanian and Taneja College","H.No. 33, Zacharia Path, Bidar-203041",lakshitdhar@chatterjee.com,2025,Civil,Power Systems,475,8.74,A
Manjari Walla,R0117,ID00117,9846947595,"Venkataraman, Buch and Banerjee College","23/15, Datta Path, Ongole-473510",ibhatti@yahoo.com,2025,Mechanical,Software Engineering,591,6.54,C
Manikya Sandal,R0118,ID00118,9285995923,Karpe-Vala College,"H.No. 97, Kata Zila, Amritsar 537568",vihaan11@char-lad.org,2020,Electronics,Power Systems,442,9.25,A+
Fateh Iyengar,R0119,ID00119,9941485095,Chand Ltd College,"H.No. 215, Ramesh Chowk, Kurnool-924673",taimurlad@sethi.com,2022,Mechanical,Networking,536,8.77,A
Nirvaan Chaudry,R0120,ID00120,9746834410,Sunder PLC College,"79, Choudhary Ganj, Bokaro 372827",nirvaan59@hotmail.com,2025,Mechanical,VLSI,440,9.55,A+
Dharmajan Singhal,R0121,ID00121,9603097236,Karnik Group College,"55/468, Khalsa Chowk, Kolkata 495960",thakuryashvi@gmail.com,2021,Electrical,VLSI,469,8.69,A
Nayantara Dhingra,R0122,ID00122,9280011979,Karnik-Goda College,"82/944, Raman, Coimbatore-430204",swaminathanalisha@vasa.biz,2024,Mechanical,Networking,561,9.7,A+
Kavya Chawla,R0123,ID00123,9501418233,Lanka-Dyal College,"H.No. 715, Handa Path, Bhiwandi-083790",emirgade@behl.com,2024,Mechanical,Structural Design,576,7.88,B
Ishita Sridhar,R0124,ID00124,9229843403,"Kalita, Jayaraman and Mandal College","66/57, Garde Zila, Gudivada-126652",nbawa@ratta.com,2021,Civil,Power Systems,418,8.42,A
Jayesh Ramesh,R0125,ID00125,9256205186,Korpal and Sons College,"76/628, Singhal Road, Muzaffarpur 143813",pari85@vaidya.com,2023,Information Technology,Software Engineering,408,7.71,B
Baiju Saini,R0126,ID00126,9953155025,"Dasgupta, Dar and Sibal College","461, Koshy, Miryalaguda-354479",divanrania@gmail.com,2022,Mechanical,Structural Design,521,7.82,B
Inaaya  Banerjee,R0127,ID00127,9641783107,Gaba-Bumb College,"530, Bhasin Chowk, Jehanabad 438839",kanav48@brar.com,2024,Electrical,VLSI,414,9.44,A+
Nitara Suresh,R0128,ID00128,9841939992,Kapadia Inc College,"06/52, Wason Ganj, Tirupati 037570",dassindrajit@yahoo.com,2024,Civil,Thermodynamics,576,7.47,B
Ela Saraf,R0129,ID00129,9531979318,Manda-Garde College,"816, Samra Chowk, New Delhi 526544",umangmalhotra@borde.com,2025,Information Technology,Thermodynamics,527,6.21,C
Samiha Sarna,R0130,ID00130,9377858447,"Chada, Khare and Bobal College","H.No. 158, Sahota, Bhatpara-810316",talwaryakshit@shetty-deo.org,2025,Mechanical,Power Systems,528,7.76,B
Rania Salvi,R0131,ID00131,9976030333,Shroff PLC College,"H.No. 813, Bose Zila, Shahjahanpur 610133",zara89@hotmail.com,2021,Electrical,Structural Design,565,8.31,A
Vanya Chada,R0132,ID00132,9329228969,"Mahajan, Srivastava and Kar College","025, Das Road, Gorakhpur 940546",ikanda@chad.net,2024,Mechanical,Structural Design,434,8.39,A
Umang Chhabra,R0133,ID00133,9393907490,Majumdar-Singhal College,"332, Guha Zila, Jaunpur-362154",reyansh60@thaker.com,2020,Information Technology,Software Engineering,426,8.09,A
Advika Krish,R0134,ID00134,9850155718,Sidhu Inc College,"06/417, Dhawan, Mango-029109",jsrinivasan@thaker-swamy.com,2025,Civil,Software Engineering,534,7.18,B
Sahil Kumer,R0135,ID00135,9675207946,Karnik Inc College,"07, Dugar Marg, Saharsa-528041",vivaancheema@gmail.com,2025,Electrical,Power Systems,549,9.9,A+
Samaira Borah,R0136,ID00136,9490090609,"Bala, Deo and Upadhyay College","576, Handa Chowk, Udaipur-108987",yogisamiha@sen.com,2021,Computer Science,Power Systems,484,8.39,A
Prisha Devan,R0137,ID00137,9726080256,Chatterjee-Kurian College,"H.No. 01, Lalla Path, Berhampore-381666",baiju17@hotmail.com,2025,Mechanical,Power Systems,555,7.59,B
Akarsh Samra,R0138,ID00138,9331087518,Srinivasan-Roy College,"56/033, Gour Path, Surendranagar Dudhrej 107168",dkrish@shankar-yogi.com,2021,Computer Science,Software Engineering,478,7.54,B
Romil Kulkarni,R0139,ID00139,9475951392,"Dasgupta, Baria and Wagle College","09/931, Sule Nagar, Hospet 706587",manduthkarsh@yahoo.com,2021,Mechanical,Networking,501,6.56,C
Samiha Date,R0140,ID00140,9586730297,Jain-Setty College,"71, Bhatti Street, Kumbakonam-004629",damini80@hotmail.com,2022,Civil,Power Systems,553,7.58,B
Samaira Uppal,R0141,ID00141,9876141263,Varughese and Sons College,"788, Sanghvi Ganj, Gandhidham 731438",adira52@sarraf-jain.com,2025,Information Technology,Networking,439,6.17,C
Hrishita Srivastava,R0142,ID00142,9943339589,"Balay, Chand and Brahmbhatt College","00/975, Kapur Street, Maheshtala 347445",godanayantara@kothari.com,2021,Computer Science,Structural Design,532,6.74,C
Ira Dora,R0143,ID00143,9868364441,"Chauhan, Wagle and Dass College","74/87, Bhatnagar Circle, Shimla 867682",onkaragate@dash.com,2021,Information Technology,Networking,423,6.98,C
Samiha Venkataraman,R0144,ID00144,9191695434,Sarma-Sen College,"59/41, Venkataraman, Pudukkottai 706553",dhaliwalkeya@ram.com,2022,Computer Science,Networking,503,7.4,B
Nirvaan Chana,R0145,ID00145,9480208550,"Madan, Dave and Walla College","18/054, Som, Jammu-181299",qgera@yahoo.com,2020,Mechanical,Software Engineering,422,8.43,A
Devansh Amble,R0146,ID00146,9527734075,Ramaswamy-Subramaniam College,"31/525, Borde Zila, Ghaziabad-134088",aaryahi50@shroff.com,2024,Electronics,Structural Design,519,8.57,A
Madhup Doshi,R0147,ID00147,9334885132,"Madan, Gulati and Mani College","14/066, Brahmbhatt Road, Bidar 288426",aradhyabutala@hotmail.com,2023,Civil,Software Engineering,464,8.52,A
Anvi Barad,R0148,ID00148,9521386181,Acharya LLC College,"75, Guha Zila, Amritsar-103490",surlavanya@sarkar.com,2024,Electrical,Power Systems,597,7.17,B
